Student ID,First Name,Last Name,Email,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
42153309,JAMES,Moran,james.moran@mumail.ie,4,4,4,2.8,4,2.24,0.72,2,0,0
10288456,JAMES,Kavanagh,james.kavanagh@mumail.ie,0,0,0,0,0,1.92,1.56,3.52,1.2,2.44
18320642,JAMES,Callaghan,james.callaghan@mumail.ie,4,4,2.24,1.52,1.68,2.68,1.04,1.2,2.12,2.04
25992894,JAYME,Power,jayme.power@mumail.ie,2,3.92,3.12,2.6,0.96,2.24,1.92,1.12,3.6,0.64
51315077,JONATHAN,Burke,jonathan.burke@mumail.ie,4,2.52,3.64,2.8,3.28,3.08,3.36,4,1,4
45873056,JOSEPH,Kelly,joseph.kelly@mumail.ie,4,4,4,4,2.92,4,0.4,4,4,0
61329673,KATIE,Healy,katie.healy@mumail.ie,4,4,4,4,4,4,4,4,4,4
99218881,KRZYSZTOF,O'Connor,krzysztof.oconnor@mumail.ie,4,4,4,4,3.64,4,2.4,4,4,1.72
81734132,LAUREN,Brennan,lauren.brennan@mumail.ie,3.2,2,2.64,0,0,0,0,0,0,0
17513375,LILY,Hayes,lily.hayes@mumail.ie,4,4,4,4,4,4,4,4,4,4
95975416,LIWEN,Casey,liwen.casey@mumail.ie,4,3.24,4,2,1.28,0.88,0.4,0,0,0
85696727,LUKE,Murray,luke.murray@mumail.ie,2,4,2.16,4,4,3.32,4,4,4,4
64609448,LUKE,Walsh,luke.walsh@mumail.ie,4,2.2,3.28,0.8,1.28,2.4,0.8,2.4,0,2.4
81957314,MAKSYMILIAN,Kavanagh,maksymilian.kavanagh@mumail.ie,3.52,1.76,3.36,3.92,3.72,2.24,1.92,2,3.16,1.24
78534290,MARK,Brennan,mark.brennan@mumail.ie,4,4,4,3.44,3.64,3.72,3.24,4,3.2,4
56634669,MUHAMMAD,Murray,muhammad.murray@mumail.ie,4,4,4,4,4,4,4,4,4,4
51204596,OBED,Ryan,obed.ryan@mumail.ie,4,2.2,3.68,2,2.12,3.52,3.04,4,3.32,4
49784910,OISIN,Maguire,oisin.maguire@mumail.ie,0,2,0,1.6,1.12,2.48,1.96,2.64,0,4
27325452,OPEYEMI,McGrath,opeyemi.mcgrath@mumail.ie,4,3.2,4,2.2,2.84,2.16,1.4,2.96,0,0
58887597,PAUL,Moran,paul.moran@mumail.ie,4,4,4,3.96,3.76,2.24,3.04,3.52,0,4
53905435,SAI,Moran,sai.moran@mumail.ie,4,1.6,4,2.92,1.96,4,2.76,3,0,0
41707679,SORIN,Healy,sorin.healy@mumail.ie,4,4,4,4,3.8,3.96,3.76,3.72,4,4
21585127,THEODORE,Moore,theodore.moore@mumail.ie,4,4,4,3.56,4,4,4,4,4,4
57005216,THOMAS,Flynn,thomas.flynn@mumail.ie,0,0,0.76,0,0,0,0,0,0,0
99435901,TING,O'Neill,ting.oneill@mumail.ie,4,4,4,4,4,4,4,4,4,4
95977109,VICTORIA,Kennedy,victoria.kennedy@mumail.ie,2.44,3.2,2.44,1.64,2,3.08,0.88,2.56,0,0.68
96346768,ABDUL,Clarke,abdul.clarke@mumail.ie,3,3.04,3.8,2.8,3.72,3.56,3.6,3.72,3.72,3.2
49806843,ALEX,O'Neill,alex.oneill@mumail.ie,3,3.2,4,3.12,3.12,2.68,1.16,0.72,1,0
42738772,ANDREI,Power,andrei.power@mumail.ie,4,3.2,0.24,0,0.92,0,0.2,0.08,0,0
94193537,ANDREW,O'Reilly,andrew.oreilly@mumail.ie,4,4,4,4,4,4,4,4,4,4
94039775,ANDREW,Sheehan,andrew.sheehan@mumail.ie,4,1.6,3.56,3.04,1.88,1.32,1.12,1.6,0,0
16459971,ANGEL,McMahon,angel.mcmahon@mumail.ie,2,1.44,2.16,3.48,0,1.24,0.8,0.4,2.6,2
69780409,CALLUM,Healy,callum.healy@mumail.ie,4,1.2,4,1.2,0,0,0,0,0,0
61553683,CHIDALU,Donovan,chidalu.donovan@mumail.ie,4,3.48,3.92,3.8,0.96,3.12,0.4,2.2,3.6,3.52
49312326,CHRISTIAAN,Donovan,christiaan.donovan@mumail.ie,4,4,4,3.76,2.92,1.24,0,2.32,2.24,4
26013074,CHRISTIAN,Finnegan,christian.finnegan@mumail.ie,4,4,4,4,3.88,4,4,4,4,4
11720062,CIAN,Finnegan,cian.finnegan@mumail.ie,4,4,4,4,4,4,4,4,0,4
50301485,CIARA,Clarke,ciara.clarke@mumail.ie,4,4,4,3.2,4,4,2.28,4,2.72,3.56
57814323,CIARAN,Barry,ciaran.barry@mumail.ie,4,4,4,3.6,1.72,3.12,2.04,2.76,0,0
44424412,CONOR,Brady,conor.brady@mumail.ie,4,4,4,4,4,4,3,3.6,0,4
28993185,DARIO,Higgins,dario.higgins@mumail.ie,2,0,0,0,0,0,0,0,0,0
59125777,DARRAGH,Kelly,darragh.kelly@mumail.ie,4,4,4,4,3.68,3.76,3.4,3.16,0,3.96
51666805,DAVID,Smith,david.smith@mumail.ie,4,4,4,4,4,4,4,3.2,4,4
81200570,DEXTER,Maguire,dexter.maguire@mumail.ie,4,3.2,4,4,4,4,3.36,4,4,0
13902965,DIEGO,O'Neill,diego.oneill@mumail.ie,4,4,3.56,2.84,2.44,2.24,2.48,3.52,0,0
35092169,DOYINSOLA,Byrne,doyinsola.byrne@mumail.ie,3.52,4,2.68,2.8,2.2,3.56,3.4,4,3.4,4
16013789,EMANUEL,Keane,emanuel.keane@mumail.ie,4,4,4,4,0,0,0,0,0,0
91435409,ERIK,Murphy,erik.murphy@mumail.ie,4,4,4,4,3,3.68,3.76,3.52,4,4
18772021,ETHAN,Doyle,ethan.doyle@mumail.ie,4,4,4,4,4,4,3.76,3.6,1,2.84
11280583,ETHAN,Healy,ethan.healy@mumail.ie,0,2,3,1.6,1.44,2.48,2,4,1,1.16
89516281,FINBARR,Hayes,finbarr.hayes@mumail.ie,4,4,3.56,4,4,4,4,4,4,4
81811643,GARETH,Kelly,gareth.kelly@mumail.ie,4,4,4,4,3.88,4,3.12,3.8,4,3.4
86703236,JACK,Moore,jack.moore@mumail.ie,4,4,3.88,4,4,2.4,1.04,0,1,0
18884292,JAMES,Carroll,james.carroll@mumail.ie,0,0,4,0,3.28,0,4,4,3,1.64
33737937,JORDAN,McCarthy,jordan.mccarthy@mumail.ie,3.52,1.6,2.24,0.8,0.72,0.88,0.8,0,0,0
31664592,KAMIL,O'Connor,kamil.oconnor@mumail.ie,4,4,2.24,3.04,3.28,1.76,1.16,2,0,2.84
98168038,KATELAN,Gallagher,katelan.gallagher@mumail.ie,4,3.2,3.32,3.52,1.8,2.24,1.56,4,3,0
42120296,KHALIL,Nolan,khalil.nolan@mumail.ie,0,2.4,4,0,0,2.16,0.8,1.44,0,0
59897937,LANZETTA,Sheehan,lanzetta.sheehan@mumail.ie,2,2.8,1.76,3.88,3.28,3.76,2.52,2.48,3,2.84
87098918,LAUREN,McGrath,lauren.mcgrath@mumail.ie,3.52,1.6,2.16,2.4,0.72,1.92,1.24,2.48,0,1.36
97998433,LAUREN,Kennedy,lauren.kennedy@mumail.ie,4,4,3,1.6,1.8,2.8,1.6,3.08,0,4
30166785,LOUIS,Gallagher,louis.gallagher@mumail.ie,4,4,4,4,4,4,4,4,4,4
65958403,MEL,Hayes,mel.hayes@mumail.ie,4,4,4,4,4,4,3.6,0.6,3,3.44
62605871,OISIN,Flynn,oisin.flynn@mumail.ie,4,4,4,4,3.48,4,1.48,1.12,0,0.88
55973104,PAUL,Reid,paul.reid@mumail.ie,2,4,4,3.8,3.64,4,2.84,2,0,4
62220404,RAKAN,Nolan,rakan.nolan@mumail.ie,4,4,4,4,4,2.24,3.2,4,4,1.72
94651334,SABIN,Murphy,sabin.murphy@mumail.ie,0,4,4,4,4,4,2.32,4,0,4
50640627,SACHIN,Kennedy,sachin.kennedy@mumail.ie,4,4,4,4,4,4,4,4,4,4
21002121,SALWA,Ryan,salwa.ryan@mumail.ie,4,2.08,4,3.6,3.32,2.68,1.68,2.2,0,0
30993222,SAM,Gallagher,sam.gallagher@mumail.ie,4,2.8,4,3.56,2.12,4,0.4,2.8,4,3.44
60182001,SEAN,Nolan,sean.nolan@mumail.ie,4,4,3.12,2.96,3.12,4,3.76,3.52,4,4
51596177,SITONG,Sheehan,sitong.sheehan@mumail.ie,4,3.4,3.12,4,3.28,4,1.4,4,4,4
29795251,THAPEN,Fitzgerald,thapen.fitzgerald@mumail.ie,4,4,3,3.2,4,4,2.96,3.6,4,4
98067951,VERONIKA,Farrell,veronika.farrell@mumail.ie,4,3.6,4,2.4,3.64,2.24,4,2.8,4,4
44259391,VERONIKA,Walsh,veronika.walsh@mumail.ie,0,3.12,1.76,4,2.92,3.8,0,3.4,0.4,0
36458945,VINCE,Kennedy,vince.kennedy@mumail.ie,3,3.2,2.24,1.6,3,4,3.32,3.52,2.6,1.72
29444926,ZYGIMANTAS,Gallagher,zygimantas.gallagher@mumail.ie,4,4,4,4,4,4,4,4,4,4
88962100,AARON,Moran,aaron.moran@mumail.ie,4,4,4,4,4,4,4,4,4,4
28355991,ABDURRAHMAN,Dunne,abdurrahman.dunne@mumail.ie,0,4,2.24,3.2,0,2.84,0.6,0,0,0
57325329,ADAM,O'Neill,adam.oneill@mumail.ie,2,2,0.44,0.8,0,0,0,0,0,0
61051356,AGNE,Murphy,agne.murphy@mumail.ie,4,4,4,4,3.96,4,3.6,4,0,4
82554050,AINE,Doyle,aine.doyle@mumail.ie,4,4,4,2.84,3.88,4,3.36,3.52,3.6,3.96
53679865,AISHAT,Maher,aishat.maher@mumail.ie,4,4,4,4,3.28,4,4,4,4,4
54272087,ALEXANDER,Kennedy,alexander.kennedy@mumail.ie,4,1,3.76,2.76,2.88,3.76,1.12,1.4,0,4
70486795,ANTONI,Gallagher,antoni.gallagher@mumail.ie,4,4,4,1.6,1.36,3.4,3,2.96,0,4
68439715,BLAKE,Brennan,blake.brennan@mumail.ie,4,4,3.36,3.96,3.52,3.04,2.56,3.52,3.2,0
28916910,CEZARY,Moore,cezary.moore@mumail.ie,4,4,4,4,2.92,2.68,1.4,3.2,0,0
72692928,CIARAN,O'Connor,ciaran.oconnor@mumail.ie,1.52,0.72,0.72,1.6,0.24,0,1.04,0,0,0
39812656,CONALL,Byrne,conall.byrne@mumail.ie,4,4,4,2.32,4,4,4,4,3.2,4
42687541,CONOR,O'Sullivan,conor.osullivan@mumail.ie,4,2.96,4,0,1.96,3.12,1.84,2.4,4,4
91016743,CORMAC,Gallagher,cormac.gallagher@mumail.ie,4,4,4,4,3.68,3.12,3.48,3.52,4,4
71058846,DANIEL,Power,daniel.power@mumail.ie,3.84,4,0.88,4,4,3.48,2.4,0,0,1.72
22105353,DANIEL,Brennan,daniel.brennan@mumail.ie,4,4,4,4,2.04,3.28,2.24,1.6,2,4
70086521,DARREN,Finnegan,darren.finnegan@mumail.ie,2,3.96,4,3.28,3.56,4,2.12,3.8,2.72,2.52
10700295,DAVID,Dunne,david.dunne@mumail.ie,4,3.52,4,3.56,0,0,0,0,0,0
44013913,DECLAN,Donovan,declan.donovan@mumail.ie,3.6,4,4,2.8,4,3.12,1.6,3.6,0,1.72
73625555,DEMILADE,Barry,demilade.barry@mumail.ie,4,3.88,2.24,2.48,4,4,3.92,3.2,0.4,4
77471025,ELLEN,O'Neill,ellen.oneill@mumail.ie,4,4,4,4,4,4,4,4,1,4
37720912,EMA,Moran,ema.moran@mumail.ie,2,4,4,0.16,3.28,4,2.88,4,4,4
45990970,FILIP,Brady,filip.brady@mumail.ie,3.52,2.4,2.68,0,0.96,2.24,0.48,0,2,2.84
12230549,FINAN,Fitzgerald,finan.fitzgerald@mumail.ie,2,3.88,4,3.52,3.04,2.92,2.76,3.52,0,0
99046614,GRACE,Walsh,grace.walsh@mumail.ie,4,4,3.88,4,3.8,4,3,3.8,4,4
19880196,GRACE,Donovan,grace.donovan@mumail.ie,4,0.4,3.96,0,0,0,0,0,0,0
67413804,JACK,Keane,jack.keane@mumail.ie,3.96,1.92,4,2.36,0.92,1.24,1.16,2.4,0.24,0
92244107,JACK,Murray,jack.murray@mumail.ie,4,2.92,4,4,2.72,2.44,3.4,2.36,4,0
90239774,JAMES,Moran,james.moran@mumail.ie,4,3.88,4,4,2.56,3.12,2.8,4,4,4
93947522,JAMES,Murphy,james.murphy@mumail.ie,0,0,0,2.28,0,0.24,0.6,0,0,0
14532650,JOHN,Sheehan,john.sheehan@mumail.ie,4,4,4,2.24,3.56,2.68,3.8,2,1,4
99403012,JOSEPH,Donovan,joseph.donovan@mumail.ie,4,4,4,4,3.64,4,3.6,4,4,4
52701053,KIAN,Kelly,kian.kelly@mumail.ie,4,4,4,4,3.84,4,4,4,4,4
64723117,LLOYD,Carroll,lloyd.carroll@mumail.ie,3.68,0.8,4,1.92,1.48,1.32,0.2,2.08,0,2.28
57282663,MATTHEW,Moore,matthew.moore@mumail.ie,2,1.6,0,0,3.68,0,0,0,0,0
72729148,MICHAL,Carroll,michal.carroll@mumail.ie,3.84,4,4,0,4,4,4,4,4,4
29195474,MODESOLA,Murphy,modesola.murphy@mumail.ie,2,1.96,1.84,0.4,0.28,2.04,0.92,1.16,2.8,0.96
83496795,MYKHAILO,Ryan,mykhailo.ryan@mumail.ie,4,4,4,4,4,4,4,4,4,4
64316426,NATALIE,Farrell,natalie.farrell@mumail.ie,4,4,4,4,3.52,4,4,4,4,4
39518199,OISIN,Collins,oisin.collins@mumail.ie,4,0,0,0,0,0,0,0,0,0
78735752,OSKAR,Finnegan,oskar.finnegan@mumail.ie,4,4,4,4,4,3.56,4,4,4,4
72056551,OWEN,Kennedy,owen.kennedy@mumail.ie,4,4,4,4,4,4,2.88,3.76,4,4
47380529,PATRICK,O'Connor,patrick.oconnor@mumail.ie,4,3.6,0.88,3.2,2.88,0,0.84,2.8,0,0
16238312,RANDON,Ryan,randon.ryan@mumail.ie,4,4,4,4,4,4,3.6,4,4,4
83078402,REINAS,O'Brien,reinas.obrien@mumail.ie,4,4,4,4,4,4,4,4,4,4
30717488,REUBEN,O'Reilly,reuben.oreilly@mumail.ie,4,4,4,3.2,4,4,3.6,4,4,3.44
56472638,RIONA,Dunne,riona.dunne@mumail.ie,4,4,4,4,4,3.72,3.48,4,4,4
68074530,SAM,Byrne,sam.byrne@mumail.ie,4,3.44,4,3.04,0.8,1.2,1.6,2.8,1,2.32
94998106,SHANE,Moore,shane.moore@mumail.ie,3.6,4,2.24,4,4,2.24,4,4,2.4,4
75640034,SINEAD,Dunne,sinead.dunne@mumail.ie,0,4,4,0.8,1.48,2.08,0.96,3,4,4
64734377,STEVEN,Sheehan,steven.sheehan@mumail.ie,2,4,2.24,3.44,2.56,2.68,1,2.44,4,2.2
44513932,TANMAY,Lynch,tanmay.lynch@mumail.ie,4,4,4,4,4,2.24,4,2.4,0,4
34164438,TIMILEYIN,Casey,timileyin.casey@mumail.ie,4,4,4,4,4,4,3.6,4,4,4
74247101,TOLULOPE,O'Connor,tolulope.oconnor@mumail.ie,2,4,4,3.84,4,4,4,4,0,3.44
37861048,TOMAS,Boyle,tomas.boyle@mumail.ie,1,0,3.12,0,0,0,0,0,0,0
40963132,AARON,Doyle,aaron.doyle@mumail.ie,4,4,4,0,4,0,2.52,2.36,0,3.44
22290486,ADAM,Donovan,adam.donovan@mumail.ie,4,4,4,4,1.44,3.48,2.48,4,4,3.44
92536739,ADITYA,O'Reilly,aditya.oreilly@mumail.ie,4,4,4,2.92,2.56,2.88,2.6,4,0,4
96631030,AOIBHIN,Doyle,aoibhin.doyle@mumail.ie,4,4,4,4,3.88,4,4,4,4,4
30851750,BENJAMIN,McCarthy,benjamin.mccarthy@mumail.ie,2.44,4,3.56,4,3.84,2.24,1.48,2.4,0,1.64
11968244,CHARLIE,Finnegan,charlie.finnegan@mumail.ie,4,0,2.2,4,1.44,0,0,0,0,0
82500610,CHRISTOPHER,Kelly,christopher.kelly@mumail.ie,4,0.32,0,0,0.4,0,0,0,0,0
33021789,CIAN,Farrell,cian.farrell@mumail.ie,4,4,4,3.6,1.04,1.76,1.32,2.8,1,4
89070671,CONOR,Brennan,conor.brennan@mumail.ie,4,4,4,4,3.32,4,2.72,3.76,4,4
14804335,DAVID,Murphy,david.murphy@mumail.ie,4,4,4,4,4,4,3.2,4,4,4
65115725,DEIVIDAS,Farrell,deividas.farrell@mumail.ie,0,0,3.96,2.16,0,0,0,0,0,0
72777338,DYLAN,Walsh,dylan.walsh@mumail.ie,4,4,4,3.52,4,4,4,4,3,4
41860313,EOIN,Boyle,eoin.boyle@mumail.ie,4,3.6,4,3.08,2.96,3.68,4,4,0,2.28
76691322,ETHAN,McMahon,ethan.mcmahon@mumail.ie,4,4,4,2.64,0,4,1.52,1.6,0,3.32
15711707,GRACE,McGrath,grace.mcgrath@mumail.ie,4,4,3.04,3.36,1.16,3.68,0.88,2.96,1,4
14023706,IBRAHIM,Byrne,ibrahim.byrne@mumail.ie,4,4,4,4,3,4,3.6,4,4,2.28
18280022,JACK,Boyle,jack.boyle@mumail.ie,4,3.44,4,3.04,1.08,2,1.08,2.4,0,0
96939852,JAKE,Brady,jake.brady@mumail.ie,3.92,1.92,3.12,0,0.92,2.24,3.4,3.2,3.72,0
50192240,JAKUB,O'Connor,jakub.oconnor@mumail.ie,4,4,4,4,4,4,4,4,4,4
93641353,JAMES,Power,james.power@mumail.ie,4,4,4,3.52,3.28,2.24,1.76,2.4,0,1.32
42867665,JAMES,Maguire,james.maguire@mumail.ie,0,0,0,0,0,0,0,0,0,0
75033531,JESSICA,Higgins,jessica.higgins@mumail.ie,0,1.08,3.28,1.48,2.52,2.16,0.32,0,0,0
18094987,JOANNA,O'Connor,joanna.oconnor@mumail.ie,4,4,4,4,4,4,1.2,4,4,4
86253272,JUDE,Walsh,jude.walsh@mumail.ie,4,4,4,4,4,4,4,4,4,4
40584220,KAI,Moran,kai.moran@mumail.ie,4,3.56,3.88,2.4,4,3.16,2.96,3.2,2.4,0
98530304,KEELAN,Burke,keelan.burke@mumail.ie,0,0,0,0,1.28,0,2.4,3.6,1,0
23061621,KILLIAN,Callaghan,killian.callaghan@mumail.ie,4,1.24,2.36,1.92,2.04,3.24,1.92,2.64,0,2.6
61861882,LARA,McMahon,lara.mcmahon@mumail.ie,4,4,4,3.8,3.64,3.12,2.48,1.96,2.4,0
15168545,LEANNE,Doyle,leanne.doyle@mumail.ie,4,4,4,4,4,4,4,4,4,4
26832681,MARVA,Burke,marva.burke@mumail.ie,4,3.2,3.64,4,3.84,4,4,2.96,3.6,0.56
70526424,MEER,Murray,meer.murray@mumail.ie,0,3.92,4,4,3.48,4,3.44,4,2.52,1.72
92121028,NIHAN,Flynn,nihan.flynn@mumail.ie,4,4,4,4,4,4,1.88,4,4,3.96
94059794,ODINAKACHUKWU,Maher,odinakachukwu.maher@mumail.ie,4,3.6,4,3.2,4,2.24,4,4,4,4
46244140,PAULA,Moran,paula.moran@mumail.ie,4,4,4,4,4,4,4,4,4,4
82996017,ROBBIE,McMahon,robbie.mcmahon@mumail.ie,2,2.24,0,1.16,2.6,3.32,3.04,2.52,0,3.44
53220917,ROBERT,O'Brien,robert.obrien@mumail.ie,4,4,4,4,4,4,4,4,4,4
15446974,RYAN,Kennedy,ryan.kennedy@mumail.ie,1.24,2.24,1.2,0.64,2.44,1.92,0.64,2.92,2.2,3.08
59293621,SAIDARSH,Fitzgerald,saidarsh.fitzgerald@mumail.ie,4,4,4,4,4,4,4,4,4,4
82214753,SEAN,Kennedy,sean.kennedy@mumail.ie,4,4,4,4,4,3.56,4,4,3,4
21815986,SEAN,Doyle,sean.doyle@mumail.ie,2.84,1.16,4,1.64,0.44,3.08,0.12,1.76,0,0
89660073,SEFORA,Casey,sefora.casey@mumail.ie,3.92,2.04,2.96,0.48,0,0,0,0,0,0
17744422,SHANE,Keane,shane.keane@mumail.ie,3.52,0.52,0.44,1.56,0.64,2.84,0.76,0.48,0,3.48
13845265,SINDY,Farrell,sindy.farrell@mumail.ie,4,3.88,4,3.2,1.96,0,1.2,2.84,3.72,4
55418801,THOMAS,Ryan,thomas.ryan@mumail.ie,4,4,4,4,4,3.56,4,4,4,0
32150780,VALERIA,McCarthy,valeria.mccarthy@mumail.ie,4,4,4,4,3.12,4,3.08,4,1.8,4
40541902,WILLIAM,Brady,william.brady@mumail.ie,0,0,0,0,0,0,0,0,0,0
96584519,ADAM,Doyle,adam.doyle@mumail.ie,4,4,4,3.52,4,3.76,3.04,1.56,0,0
48627789,ALEX,Doyle,alex.doyle@mumail.ie,0,0,0,0,0,0,0,0,0,0.56
75234910,ALICJA,Murray,alicja.murray@mumail.ie,4,4,4,3.6,3.88,4,3.36,4,3.4,4
37734403,ANDREW,Doyle,andrew.doyle@mumail.ie,4,4,4,4,4,3.56,1.4,4,0,0
54202295,ANNIKA,Gallagher,annika.gallagher@mumail.ie,1.32,1.92,3.88,0.36,2.68,2.68,2.16,4,4,4
43297874,ARIEL,Gallagher,ariel.gallagher@mumail.ie,4,4,4,4,4,4,4,4,4,4
79670982,AWAIS,Farrell,awais.farrell@mumail.ie,4,1.8,3.88,4,1.6,2.32,0.36,0,2.72,1.72
21910507,BARTLOMIEJ,Dunne,bartlomiej.dunne@mumail.ie,3.6,4,4,4,4,4,4,4,4,4
77958105,BREANNA,Donovan,breanna.donovan@mumail.ie,3.92,4,4,4,3.64,4,4,4,4,1.72
24014421,BRYAN,Murphy,bryan.murphy@mumail.ie,0,0,0,0,0,0,0,0,0,0
28613839,CALLUM,Maguire,callum.maguire@mumail.ie,4,4,4,3.6,3.64,4,0.96,3.6,3,0
11435169,CHIKEZIE,Hayes,chikezie.hayes@mumail.ie,4,4,4,3.76,2.64,4,2.6,3.2,1.6,1.16
48251029,CHRISTOPHER,Doyle,christopher.doyle@mumail.ie,4,4,4,4,4,4,3.12,4,4,4
24642845,CONOR,Murphy,conor.murphy@mumail.ie,4,4,4,4,0,0,0,0,0,0
32793157,CORMAC,Moran,cormac.moran@mumail.ie,4,4,4,4,4,4,4,4,4,4
53033989,DANIEL,Boyle,daniel.boyle@mumail.ie,1,1.6,1.76,2.8,1.96,1.76,1.6,3.8,0,0
45213749,DANIEL,Lynch,daniel.lynch@mumail.ie,4,0,4,2,0,0,0,0,0,0
97775926,DARRAGH,Gallagher,darragh.gallagher@mumail.ie,4,0,4,0,2.92,0,0,0,0,0
76931823,DAVID,Casey,david.casey@mumail.ie,4,3.44,3.96,1.44,0.12,0,0,0,0,0
77783669,DOVYDAS,Casey,dovydas.casey@mumail.ie,4,4,4,4,4,4,3.16,3.92,1,2.28
56197684,EABHA,Kennedy,eabha.kennedy@mumail.ie,0,0,0,0,0,1.32,0.64,1.6,0,2.4
67563666,EDWARD,Finnegan,edward.finnegan@mumail.ie,4,3.88,4,4,3.76,3.72,3.6,3.8,3,4
91799031,EOIN,Nolan,eoin.nolan@mumail.ie,1.52,3.44,0.48,3.6,2.48,2.4,1.36,2.56,0,4
91779366,GABRIELLE,O'Neill,gabrielle.oneill@mumail.ie,4,4,4,4,1.08,3.32,1.12,1.16,2,3.88
37503866,GLEN,Flynn,glen.flynn@mumail.ie,4,4,4,4,4,4,4,4,4,4
35282012,GRACE,Ryan,grace.ryan@mumail.ie,4,4,4,4,4,4,4,4,3,4
18065078,HARI,McGrath,hari.mcgrath@mumail.ie,4,4,4,4,3.28,4,4,4,0,2.84
79927954,HENKEL,Casey,henkel.casey@mumail.ie,4,4,4,3.6,4,4,3.76,4,3,1.72
49135579,JAMES,Collins,james.collins@mumail.ie,1.52,0,0.56,0,0,0,0,0,0,0
43426555,JAN-FREDERIK,Power,jan-frederik.power@mumail.ie,4,4,4,4,4,3.36,3.28,4,1,2.84
55898988,JENNIFER,Byrne,jennifer.byrne@mumail.ie,4,4,4,3.6,4,4,3.6,4,4,3.72
60042038,JULIAN,Kelly,julian.kelly@mumail.ie,4,4,4,4,4,4,4,3.6,4,2.28
